"Herzogenrath" (50.8667, 6.1000) 46402
"Schwerte" (51.4458, 7.5653) 46340
"Oberursel" (50.2028, 8.5769) 46248
"Wittenberg" (51.8671, 12.6484) 46008
"Hof" (50.3167, 11.9167) 45930
"Filderstadt" (48.6667, 9.2167) 45813
"Gotha" (50.9489, 10.7183) 45733
"Fellbach" (48.8086, 9.2758) 45671
"Bunde" (52.2000, 8.6000) 45521
"Albstadt" (48.2119, 9.0239) 45327
"Weinheim" (49.5561, 8.6697) 45284
"Rodgau" (50.0256, 8.8841) 45202
"Bruchsal" (49.1333, 8.6000) 44644
"Oranienburg" (52.7544, 13.2369) 44512
"Bruhl" (50.8333, 6.9000) 44397
"Erkrath" (51.2239, 6.9147) 44384
"Neustadt am Rubenberge" (52.5055, 9.4636) 44282
"Lehrte" (52.3725, 9.9769) 43999
"Kaufbeuren" (47.8800, 10.6225) 43893
"Falkensee" (52.5583, 13.0917) 43838
"Memmingen" (47.9878, 10.1811) 43837
"Kaarst" (51.2278, 6.6273) 43433
"Erkelenz" (51.0800, 6.3156) 43364
"Pinneberg" (53.6591, 9.8009) 43280
"Bietigheim-Bissingen" (48.9667, 9.1333) 43093
"Kamen" (51.5917, 7.6653) 42971
"Wismar" (53.8925, 11.4650) 42550
"Borken" (51.8439, 6.8583) 42530
"Gifhorn" (52.4886, 10.5464) 42519
"Nettetal" (51.3167, 6.2833) 42493
"Eisenach" (50.9747, 10.3244) 42370
"Dreieich" (50.0189, 8.6961) 42091
"Aurich" (53.4714, 7.4836) 41991
"Amberg" (49.4444, 11.8483) 41970
"Heinsberg" (51.0631, 6.0964) 41946
"Ansbach" (49.3000, 10.5833) 41847
"Homburg" (49.3167, 7.3333) 41811
"Nordhausen" (51.5050, 10.7911) 41791
"Wunstorf" (52.4238, 9.4359) 41594
"Seevetal" (53.3833, 10.0333) 41506
"Siegburg" (50.8014, 7.2044) 41463
"Laatzen" (52.3077, 9.8133) 41422
"Germering" (48.1333, 11.3667) 41387
"Coburg" (50.2585, 10.9579) 41249
"Konigswinter" (50.6833, 7.1833) 41243
"Nurtingen" (48.6267, 9.3353) 41093
"Freiberg" (50.9119, 13.3428) 40885
"Schwabach" (49.3292, 11.0208) 40792
"Lemgo" (52.0277, 8.9043) 40696
"Kirchheim unter Teck" (48.6483, 9.4511) 40523
"Bensheim" (49.6811, 8.6228) 40456
"Schwabisch Hall" (49.1122, 9.7375) 40440
"Weißenfels" (51.2000, 11.9667) 40409
"Pirmasens" (49.2000, 7.6000) 40403
"Eberswalde" (52.8331, 13.8331) 40387
"Halberstadt" (51.8958, 11.0467) 40256
"Buxtehude" (53.4769, 9.7011) 40150
"Leinfelden-Echterdingen" (48.6928, 9.1428) 40092
"Neumarkt" (49.2833, 11.4667) 40002
"Huckelhoven" (51.0608, 6.2197) 39931
"Hofheim" (50.0876, 8.4447) 39766
"Lohne" (52.2000, 8.7000) 39697
"Schorndorf" (48.8000, 9.5333) 39634
"Stendal" (52.6000, 11.8500) 39439
"Freital" (51.0167, 13.6500) 39405
"Volklingen" (49.2500, 6.8333) 39374
"Ettlingen" (48.9333, 8.4000) 39339
"Ostfildern" (48.7228, 9.2631) 39321
"Maintal" (50.1500, 8.8333) 39298
"Buchholz in der Nordheide" (53.3285, 9.8621) 39272
"Ahaus" (52.0794, 7.0134) 39223
"Ilmenau" (50.6872, 10.9142) 39017
"Mettmann" (51.2500, 6.9667) 38829
"Wurselen" (50.8247, 6.1275) 38712
"Bitterfeld" (51.6167, 12.3167) 38475
"Bautzen" (51.1814, 14.4239) 38329
"Pirna" (50.9622, 13.9403) 38316
"Niederkassel" (50.8167, 7.0333) 38218
"Langen" (49.9893, 8.6803) 37902
"Greven" (52.0917, 7.6083) 37692
"Furstenfeldbruck" (48.1778, 11.2556) 37677
"Neu Isenburg" (50.0558, 8.6971) 37668
"Papenburg" (53.0667, 7.4000) 37579
"Kamp-Lintfort" (51.5000, 6.5333) 37391
"Backnang" (48.9464, 9.4306) 37253
"Warendorf" (51.9539, 7.9933) 37226
"Konigs Wusterhausen" (52.2917, 13.6250) 37190
"Suhl" (50.6106, 10.6931) 36955
"Beckum" (51.7558, 8.0408) 36646
"Erding" (48.3001, 11.9082) 36469
"Coesfeld" (51.9458, 7.1675) 36217
"Muhlhausen" (51.2167, 10.4500) 36200
"Wesseling" (50.8207, 6.9786) 36146
"Kehl" (48.5711, 7.8089) 36089
"Emsdetten" (52.1728, 7.5344) 36012
"Tuttlingen" (47.9850, 8.8233) 35730
"Sankt Ingbert" (49.3000, 7.1167) 35714
"Porta Westfalica" (52.2167, 8.9333) 35671
"Sinsheim" (49.2500, 8.8833) 35442
"Meppen" (52.6906, 7.2910) 35373
"Limburg" (50.3833, 8.0667) 35243
"Ingelheim" (49.9747, 8.0564) 35146
"Lage" (51.9833, 8.8000) 35047
"Cloppenburg" (52.8478, 8.0439) 34913
"Winsen" (53.3667, 10.2167) 34896
"Morfelden-Walldorf" (49.9896, 8.5661) 34828
"Wermelskirchen" (51.1392, 7.2051) 34765
"Datteln" (51.6539, 7.3417) 34614
"Kempen" (51.3658, 6.4194) 34597
"Saarlouis" (49.3167, 6.7500) 34552
"Leer" (53.2308, 7.4528) 34486
"Seelze" (52.3961, 9.5981) 34442
"Crailsheim" (49.1347, 10.0706) 34400
"Barsinghausen" (52.3031, 9.4606) 34234
"Balingen" (48.2731, 8.8506) 34217
"Zweibrucken" (49.2494, 7.3608) 34209
"Viernheim" (49.5380, 8.5792) 34175
"Steinfurt" (52.1504, 7.3366) 34084
"Merseburg" (51.3544, 11.9928) 34080
"Hemer" (51.3833, 7.7667) 34080
"Dietzenbach" (50.0086, 8.7756) 34019
"Radebeul" (51.1033, 13.6700) 34008
"Bad Vilbel" (50.1781, 8.7361) 33990
"Geldern" (51.5197, 6.3325) 33836
"Goch" (51.6839, 6.1619) 33825
"Kornwestheim" (48.8597, 9.1850) 33803
"Stuhr" (53.0167, 8.7500) 33678
"Uelzen" (52.9647, 10.5658) 33614
"Deggendorf" (48.8353, 12.9644) 33585
"Wedel" (53.5833, 9.7000) 33547
"Ahrensburg" (53.6747, 10.2411) 33472
"Rheinfelden (Baden)" (47.5611, 7.7917) 33074
"Korschenbroich" (51.1833, 6.5167) 33066
"Biberach" (48.0981, 9.7886) 32938
"Wernigerode" (51.8350, 10.7853) 32733
"Bernburg" (51.8000, 11.7333) 32674
"Julich" (50.9222, 6.3583) 32632
"Lampertheim" (49.5942, 8.4671) 32537
"Vechta" (52.7306, 8.2886) 32433
"Naumburg" (51.1521, 11.8098) 32402
"Forchheim" (49.7197, 11.0581) 32171
"Bad Nauheim" (50.3667, 8.7500) 32163
"Hoyerswerda" (51.4331, 14.2500) 32123
"Altenburg" (50.9850, 12.4333) 32074
"Delbruck" (51.7667, 8.5667) 31949
"Furstenwalde" (52.3667, 14.0667) 31941
"Achim" (53.0130, 9.0330) 31911
"Itzehoe" (53.9250, 9.5164) 31879
"Georgsmarienhutte" (52.2031, 8.0447) 31827
"Herrenberg" (48.5967, 8.8708) 31545
"Oer-Erkenschwick" (51.6422, 7.2508) 31442
"Radolfzell am Bodensee" (47.7369, 8.9697) 31203
"Kreuztal" (50.9620, 8.0064) 31187
"Ganderkesee" (53.0358, 8.5483) 31137
"Rheinberg" (51.5467, 6.6006) 31097
"Bramsche" (52.4089, 7.9728) 30952
"Neuruppin" (52.9222, 12.8000) 30846
"Einbeck" (51.8167, 9.8667) 30826
"Werl" (51.5528, 7.9139) 30772
"Schonebeck" (52.0167, 11.7500) 30720
"Burgdorf" (52.4438, 10.0078) 30699
"Gevelsberg" (51.3265, 7.3559) 30695
"Weyhe" (52.9936, 8.8733) 30669
"Geesthacht" (53.4375, 10.3675) 30551
"Haan" (51.1931, 7.0131) 30484
"Lohmar" (50.8415, 7.2166) 30363
"Osterholz-Scharmbeck" (53.2269, 8.7947) 30300
"Weil am Rhein" (47.5947, 7.6108) 30175
"Ennepetal" (51.3021, 7.3425) 30075
"Riesa" (51.3081, 13.2939) 30054
"Taunusstein" (50.1435, 8.1606) 30005
"Andernach" (50.4397, 7.4017) 29966
"Meschede" (51.3503, 8.2836) 29921
"Schwedt (Oder)" (53.0631, 14.2831) 29920
"Friedberg" (48.3500, 10.9833) 29810
"Bad Hersfeld" (50.8683, 9.7067) 29800
"Gaggenau" (48.8039, 8.3194) 29777
"Merzig" (49.4471, 6.6312) 29745
"Neuburg" (48.7333, 11.1833) 29682
"Werve" (51.6667, 7.6167) 29662
"Vaihingen an der Enz" (48.9328, 8.9564) 29467
"Rietberg" (51.8000, 8.4333) 29466
"Saalfeld" (50.6506, 11.3542) 29457
"Bretten" (49.0364, 8.7061) 29412
"Waltrop" (51.6236, 7.3972) 29345
"Oelde" (51.8258, 8.1436) 29326
"Tonisvorst" (51.3208, 6.4931) 29306
"Gustrow" (53.7939, 12.1764) 29241
"Friedberg" (50.3353, 8.7550) 29180
"Landsberg" (48.0528, 10.8689) 29132
"Northeim" (51.7067, 10.0011) 29107
"Kelkheim (Taunus)" (50.1380, 8.4525) 29055
"Springe" (52.2167, 9.5500) 28951
"Unterschleißheim" (48.2833, 11.5667) 28907
"Buhl" (48.6953, 8.1350) 28900
"Schwandorf" (49.3236, 12.0993) 28828
"Hoxter" (51.7667, 9.3667) 28824
"Rosrath" (50.9000, 7.1833) 28693
"Bad Zwischenahn" (53.1836, 8.0097) 28596
"Schwelm" (51.2904, 7.2972) 28542
"Rendsburg" (54.3044, 9.6644) 28470
